SubID;Part;utility_ArrayEXP1;current_leftchosenEXP;current_subblogEXP;current_unchosenImEXP;current_unchosenProbEXP;elapsedTimeEXP;left_OutArrayEXP;leftimEXP;left_ProbabilityEXP;rightimEXP;right_ProbabilityEXP;left_OutArrayEXP;right_OutArrayEXP;outcomeArrayEXP;scoreArrayEXP;current_chosenImEXP;current_chosenProbEXP;clicksArrayEXP2;elapsed_timeEXP2;left_imagesEXP2;left_probabilityEXP2;leftOutcomesEXP2;outcomeArrayEXP2;right_imagesEXP2;right_probabilityEXP2;rightOutcomesEXP2;scoreArrayEXP2;selected_imageEXP2;selected_probabilityEXP2;selected_sideEXP2;trialIconsEXP2;trialPiechartProbsEXP2;trialPiechartTypesEXP2;trialRunsEXP2;utility_ArrayEXP2;selectedImageNamesArrayEXP;confidenceLevelsArrayEXP;sliderResponsesArrayEXP;correct_probability;Trial_Num;scoreEXP2;outcomeArrayEXP1All;accurate_rating
1;1;-1;0;1;'Magnet';0.750000000000000;2.18767261505127;1;'Magnet';0.750000000000000;'Mark';0.250000000000000;1;-1;-1;-1;'Mark';0.250000000000000;1;1.28402376174927;'Cycle';0.375000000000000;1;1;'Pie1';0.250000000000000;0;1;Cycle';0.375000000000000;'left';'Cycle';0.250000000000000;1;1;1;'Fire';5;82;;1;450;-1;0.625
1;1;1;1;1;'Mark';0.250000000000000;0.983512878417969;1;'Magnet';0.750000000000000;'Mark';0.250000000000000;1;-1;1;0;'Magnet';0.750000000000000;1;2.67003607749939;'Cycle';0.375000000000000;1;1;'Pie1';0.125000000000000;0;2;'Cycle';0.375000000000000;'left';'Cycle';0.125000000000000;1;5;1;'Pie16';5;78;;2;450;1;0.75
1;1;1;1;1;'Mark';0.250000000000000;0.604299306869507;1;'Magnet';0.750000000000000;'Mark';0.250000000000000;1;-1;1;1;'Magnet';0.750000000000000;1;1.83898830413818;'Pie2';0.375000000000000;0;0;'Cycle';0.375000000000000;0;1;'Pie2';0.375000000000000;'left';'Cycle';0.375000000000000;2;2;-1;'Pie22';4;25;;3;450;1;0.25
1;1;1;1;1;'Mark';0.250000000000000;0.600807428359985;1;'Magnet';0.750000000000000;'Mark';0.250000000000000;1;1;1;2;'Magnet';0.750000000000000;1;0.914345502853394;'Menu';0.875000000000000;1;1;'Pie2';0.250000000000000;0;2;'Menu';0.875000000000000;'left';'Menu';0.250000000000000;2;5;1;'Pie33';4;64;;4;450;1;0.375
1;1;1;0;1;'Mark';0.250000000000000;1.33327150344849;-1;'Mark';0.250000000000000;'Magnet';0.750000000000000;-1;1;1;3;'Magnet';0.750000000000000;1;3.45103287696838;'Intersection';0.125000000000000;0;0;'Pie3';0.125000000000000;0;1;'Intersection';0.125000000000000;'left';'Intersection';0.125000000000000;3;5;-1;'Pie43';3;29;;5;450;1;0.375
1;1;1;1;1;'Mark';0.250000000000000;0.595807790756226;1;'Magnet';0.750000000000000;'Mark';0.250000000000000;1;-1;1;4;'Magnet';0.750000000000000;0;7.19620156288147;'Fire';0.625000000000000;0;1;'Pie3';0.875000000000000;1;2;'Pie3';0.875000000000000;'right';'Fire';0.875000000000000;3;4;1;'Pie23';4;32;;6;450;1;0.375
1;1;-1;1;1;'Mark';0.250000000000000;0.440929651260376;-1;'Magnet';0.750000000000000;'Mark';0.250000000000000;-1;-1;-1;3;'Magnet';0.750000000000000;0;1.35703969001770;'Cycle';0.375000000000000;0;1;'Pie1';0.625000000000000;1;3;'Pie1';0.625000000000000;'right';'Cycle';0.625000000000000;1;2;1;'Pie42';4;17;;7;450;-1;0.25
1;1;1;1;1;'Mark';0.250000000000000;0.780133485794067;1;'Magnet';0.750000000000000;'Mark';0.250000000000000;1;-1;1;4;'Magnet';0.750000000000000;1;3.25207757949829;'Pie1';0.250000000000000;1;1;'Intersection';0.125000000000000;0;4;'Pie1';0.250000000000000;'left';'Intersection';0.250000000000000;1;2;1;'Pie14';5;49;;8;450;1;0.5
1;1;1;0;1;'Mark';0.250000000000000;0.674041509628296;-1;'Mark';0.250000000000000;'Magnet';0.750000000000000;-1;1;1;5;'Magnet';0.750000000000000;1;0.892839193344116;'Menu';0.875000000000000;1;1;'Pie2';0.125000000000000;0;5;'Menu';0.875000000000000;'left';'Menu';0.125000000000000;2;3;1;'Cycle';3;16;;9;450;1;0.375
1;1;-1;0;1;'Mark';0.250000000000000;0.539583683013916;-1;'Mark';0.250000000000000;'Magnet';0.750000000000000;-1;-1;-1;4;'Magnet';0.750000000000000;0;1.18293166160584;'Intersection';0.125000000000000;0;1;'Pie2';0.625000000000000;1;6;'Pie2';0.625000000000000;'right';'Intersection';0.625000000000000;2;3;1;'Pie41';3;11;;10;450;-1;0.125
